Gene Name	Value	Genbank	Description	Product	PubMedID	Custom 1 Field	GO biological process
SPCC320.03	0	SPCC320.03	transcription factor (predicted)				
nup131	0	SPBP35G2.06c	nucleoporin Nup131				
SPCC320.06	0	SPCC320.06	conserved fungal protein				
SPCC320.05	0	SPCC320.05	sulphate transporter (predicted)				
ish1	0	SPBC365.12c	LEA domain protein				
SPBC21C3.19	0	SPBC21C3.19	SBDS family protein Rtc3 (predicted)				
fbp1	0	SPBC1198.14c	fructose-1,6-bisphosphatase Fbp1				
SPCC569.03	0	SPCC569.03	cell surface glycoprotein (predicted), DUF1773 family protein 4				
caf5	0	SPBC609.04	spermine family transmembrane transporter Caf5				
SPAC57A7.05	0	SPAC57A7.05	conserved protein				
SPAC22H12.03	0	SPAC22H12.03	mitochondrial hydrolase (predicted)				
SPAC1687.08	0	SPAC1687.08	sequence orphan				
SPAC1687.07	0	SPAC1687.07	conserved fungal protein				
Tf2-3	0	SPAC2E1P3.03c	retrotransposable element				
SPBC557.05	0	SPBC557.05	arrestin				
SPBC2D10.04	0	SPBC2D10.04	arrestin Aly1 related, implicated in endocytosis				
atg6	0	SPAC20G8.10c	beclin family protein, involved in autophagy				
SPAC11E3.02c	0	SPAC11E3.02c	C2 domain protein				
atf31	0	SPAC22F3.02	transcription factor Atf31				
SPAC12G12.16c	0	SPAC12G12.16c	Fen1 family nuclease, XP-G family (predicted)				
SPBC1348.12	0	SPBC1348.12	zinc finger protein				
SPBC21H7.06c	0	SPBC21H7.06c	inositol metabolism protein Opi10 (predicted)				
obr1	0	SPAC3C7.14c	ubiquitinated histone-like protein Uhp1				
SPAC12B10.13	0	SPAC12B10.13	proteasome-dependent catabolite inactivation protein, ubiquitin ligase complex subunit (predicted)				
SPAC4D7.02c	0	SPAC4D7.02c	glycerophosphoryl diester phosphodiesterase (predicted)				
mug191	0	SPAC3C7.05c	alpha-1,6-mannanase (predicted)				
SPCC306.08c	0	SPCC306.08c	malate dehydrogenase (predicted)				
SPBC609.01	0	SPBC609.01	ribonuclease II (RNB) family				
SPCC63.05	0	SPCC63.05	TAP42 family protein involved in TOR signalling (predicted)				
iqw1	0	SPBC609.03	WD repeat protein, Iqw1				
lsd90	0	SPBC16E9.16c	Lsd90 protein				
scn1	0	SPAC688.13	TatD DNase family Scn1				
pol4	0	SPAC2F7.06c	DNA polymerase X family				
SPCC569.05c	0	SPCC569.05c	spermidine family transporter (predicted)				
SPAC14C4.01c	0	SPAC14C4.01c	DUF1770 family protein				
SPBC29A3.03c	0	SPBC29A3.03c	ubiquitin-protein ligase E3 (predicted)				
ppk19	0	SPBC119.07	serine/threonine protein kinase Ppk19				
SPBC119.03	0	SPBC119.03	human COMT homolog 1				
atg18	0	SPAC589.07c	WD repeat protein involved in autophagy Atg18a				
gdi1	0	SPAC22H10.12c	GDP dissociation inhibitor Gdi1 (predicted)				
SPBC216.03	0	SPBC216.03	conserved fungal protein				
btb1	0	SPCC330.11	BTB/POZ domain protein Btb1				
SPCPJ732.02c	0	SPCPJ732.02c	xylulose kinase (predicted)				
SPCPB1C11.02	0	SPCPB1C11.02	amino acid permease (predicted)				
SPCC962.01	0	SPCC962.01	C2 domain protein				
SPAC3H8.04	0	SPAC3H8.04	chromosome segregation protein (predicted)				
SPCC553.10	0	SPCC553.10	conserved fungal protein				
trx2	0	SPBC12D12.07c	mitochondrial thioredoxin Trx2				
