Gene name	Mean of ratios
	
3ha	
5srrna	1.152
aap1	1.019
aap1.rc	1.193
abc1: c2d10.18	1.010
abc1: c9e9.12c	0.586
abp1	0.913
abp2	0.782
act1.1.bud.75	1.324
act1.5.bud.79	
act1: cps8: pi012	0.904
act2	0.904
ada1	0.842
ade10	1.162
ade1: min4	1.156
ade2: min10	0.982
ade3: min11	1.019
ade4: min13	1.134
ade5: ade8	1.032
ade6: min1	0.953
ade8	1.114
ade9	1.536
adh1: adh	0.984
adk1	0.987
aes1	0.496
agl	1.042
ags1: mok1	1.095
ain1	1.404
alg11: gmd3	0.941
alm1	1.122
alp1	
alp11	0.804
alp13	1.024
alp14	1.068
alp16	0.806
alp21: sto1	1.023
alp31	1.024
alp4	1.015
alp41	1.005
alp6	1.068
alp7	0.878
anc1	1.073
apc1: apc10	1.034
apc5	1.120
ape1	
apg9	0.694
aph1	1.011
apl1	0.988
apl2	0.878
apl3: pi033	0.938
apl4	0.920
apl5	0.969
apl6	0.952
apm1	0.964
apm2	0.977
apm4	0.988
apn1	
app1	0.935
aps1	1.220
aps2	
aps3	0.850
arf1	1.073
arg11	1.049
arg3	1.011
arg7	0.954
argx	0.956
aro1	1.027
arp10	0.966
arp2	0.882
ars2004	1.187
ars24-ctrl	1.132
ars3002	1.540
aru1	1.272
atf1: mts1: sss1: gad7.b	0.896
atf21	1.162
atf31	1.243
atp1	1.020
atp1.rc	1.223
atp2	1.153
ats1	0.756
aur1	0.779
azr1	1.089
b13958-1	1.239
b13958-3	0.962
b20341-1	0.963
b20341-2	1.108
b20341-3	1.001
b22918-1	1.313
b22918-2	0.791
b8647-1	0.847
b8647-2	0.969
b8647-3	1.218
b8647-4	1.039
b8647-5	0.468
bag1-a	0.973
bag1-b	0.999
bem46	1.009
bet1	1.026
bet3	0.925
bet5	0.875
bfr1: hba2	0.706
bgl2	0.720
bgs2: meu21	0.766
bgs3	1.015
bgs4	0.994
bio2	1.263
bip	1.038
bos1	1.088
bpb1: sf1	1.006
brc1	0.897
brd1	1.014
brr2	0.871
btf3	1.125
bub1	0.969
byr1: ste1	0.924
byr1: ste1.rc	1.037
byr2: ste8	0.824
byr3	1.131
byr4	0.991
c1002.01	1.071
c1002.02	0.987
c1002.03c	1.042
c1002.04c	1.004
c1002.05c	1.061
c1002.06c	1.132
c1002.08c	1.043
c1002.10c	0.882
c1002.11	0.876
c1002.12c	0.759
c1002.14	0.968
c1002.15c	1.040
c1002.16c	0.859
c1002.17c	0.595
c1002.18	0.757
c1002.19	0.551
c1002.20	1.015
c1002.21	0.913
c1006.01	0.707
c1006.02	1.080
c1006.03c	1.103
c1006.04c	1.131
c1006.05c	0.831
c1006.06	0.788
c1020.03	
c1020.05	0.881
c1020.07	1.060
c1020.08	1.200
c1020.09	1.161
c1020.10	1.418
c1020.11c	0.965
c1020.12c	
c1020.13c	0.818
c1039.01	0.847
c1039.02	0.990
c1039.03	0.804
c1039.04	0.843
c1039.05c	0.849
c1039.06	0.841
c1039.07c	0.610
c1039.08	0.694
c105.01c	0.997
c105.02c	0.809
c105.03c	0.805
c106.02c	0.686
c106.03	0.772
c106.05c	1.012
c106.07c	0.907
c106.11c	0.997
c106.12c	0.971
c106.13	0.849
c106.14c	1.208
c106.16	0.865
c106.17c	0.851
c1071.01c	1.032
c1071.02	0.945
c1071.03c	0.944
c1071.04c	0.822
c1071.05	1.012
c1071.06	1.090
c1071.09c	1.286
c1071.09c.rc	1.505
c1071.11	0.767
c1071.11.rc	1.102
c1093.01	0.817
c1093.01.rc	0.952
c1093.02	1.024
c1093.03	
c1093.04c	0.921
c1093.05	1.125
c10f6.01c	1.245
c10f6.03c	1.348
c10f6.04	0.962
c10f6.07c	0.936
c10f6.08c	0.970
c10f6.10	1.213
c10f6.11c	0.720
c10f6.13c	0.707
c10f6.14c	1.012
c10f6.16	0.854
c10f6.17c	1.078
c110.02	0.783
c1105.01	1.425
c1105.02c	1.002
c1105.03c	1.028
c1105.06	1.016
c1105.07c	1.023
c1105.08	0.868
c1105.10	0.982
c1105.13c	1.059
c1105.14	1.425
c1105.15c	
c1105.16c	1.304
c1142.01	0.959
c1142.02c	0.959
c1142.04	1.269
c1142.05	0.952
c1142.06	1.004
c115.01c	1.099
c115.01c.rc	1.170
c115.02c	0.908
c115.03	0.898
c1183.02	0.890
c1183.03c	0.966
c1183.04c	0.904
c1183.07	1.213
c1183.09c	0.866
c119.03	0.401
c119.06	0.976
c119.07	0.993
c119.09c	0.816
c119.10	1.034
c119.12	0.848
c119.15	1.007
c119.16c	1.042
c119.18	1.005
c1198.01	0.641
c1198.02	1.053
c1198.03c	1.110
c1198.05	1.012
c1198.06c	0.962
c1198.07c	0.790
c1198.07c.rc	1.761
c1198.08	1.024
c1198.10c	0.985
c11c11.01	0.967
c11c11.05	0.779
c11c11.06c	0.994
c11c11.12	1.363
c11d3.01c	0.471
c11d3.02c	1.035
c11d3.03c	1.155
c11d3.04c	1.179
c11d3.05	0.710
c11d3.06	1.019
c11d3.07c	0.854
c11d3.08c	0.826
c11d3.09	0.763
c11d3.10	1.154
c11d3.11c	0.876
c11d3.13	0.687
c11d3.14c	1.516
c11d3.15	1.221
c11d3.16c	0.890
c11d3.17	0.849
c11d3.18c	0.981
c11e10.01	0.770
c11e10.03	1.055
c11e10.04	0.964
c11e10.05c	0.841
c11e10.06c	1.092
c11e10.07c	1.020
c11e3.01c	1.011
c11e3.02c	0.811
c11e3.03	1.054
c11e3.05	0.952
c11e3.07	1.029
c11e3.10	0.939
c11e3.10.rc	
c11e3.11c	0.889
c11e3.12	0.971
c11e3.13c	1.015
c11e3.14	0.984
c11g11.01	0.676
c11g11.03	1.244
c11g11.05	1.173
c11g7.01	0.858
c11g7.03	0.849
c11g7.05c	0.948
c11h11.01	1.038
c11h11.02c	1.029
c11h11.03c	1.007
c11h11.05c	1.013
c1215.01	0.914
c1215.02c	1.107
c1223.01	1.187
c1223.04c	1.342
c1223.07c	0.954
c1223.09	0.395
c1223.10c	0.738
c1223.13	0.847
c1223.14.a	1.141
c1235.03	0.858
c1235.04c	0.977
c1235.05c	
c1235.06	0.990
c1235.07	1.203
c1235.09	0.985
c1235.11	0.910
c1235.12c	1.596
c1250.01	0.955
c1250.02	1.714
c1250.04c	1.250
c1259.02c	1.396
c1259.04	0.996
c1259.05c	0.956
c1259.06	1.079
c1259.07	0.959
c1259.08	1.067
c1259.09c	0.867
c1259.10	0.940
c1259.11c	0.989
c1259.12c	1.054
c126.01c	1.002
c126.04c	0.763
c126.05c	1.160
c126.06	0.863
c126.07c	0.882
c126.08c	0.912
c126.09	0.905
c126.11c	1.026
c126.12	1.041
c126.13c	1.108
c1271.01c	0.999
c1271.03c	0.999
c1271.04c	1.161
c1271.05c	0.482
c1271.06c	
c1271.07c	0.563
c1271.08c	0.376
c1271.09	0.972
c1271.10c	1.181
c1271.11	1.070
c1271.13	1.005
c1271.14	0.963
c1271.15c	1.140
c1281.03c	1.029
c1281.04.a	0.779
c1281.05	0.909
c1281.06c	1.458
c1281.07c	0.380
c1289.01c	0.837
c1289.01c.rc	1.147
c1289.05c	0.885
c1289.06c	0.985
c1289.08	1.235
c1289.09	0.996
c1289.10c	0.922
c1289.12	1.016
c1289.13c	1.030
c1296.01c	0.993
c1296.04	1.068
c1296.05c	1.041
c1296.06	0.873
c12b10.01c	0.734
c12b10.02c	0.885
c12b10.03	0.877
c12b10.04	1.178
c12b10.05	1.042
c12b10.06c	0.940
c12b10.07	0.899
c12b10.08c	1.060
c12b10.09	1.124
c12b10.10	1.738
c12b10.13	0.738
c12b10.14c	0.896
c12b10.15c	0.976
c12b10.16c	0.938
c12c2.03c	0.821
c12c2.04	0.809
c12c2.05c	
c12c2.05c.rc	1.037
c12c2.06	0.968
c12c2.07c	1.160
c12c2.08	0.981
c12c2.09c	0.968
c12c2.11	0.942
c12c2.12c	0.971
c12c2.14c	
c12d12.05c	1.094
c12d12.06	1.130
c12d12.07c	0.835
c12d12.09	1.027
c12g12.02	1.191
c12g12.03	1.089
c12g12.05c	
c12g12.05c.rc	
c12g12.06c	1.134
c12g12.07c	1.003
c12g12.08	0.987
c12g12.09	0.916
c12g12.10	0.924
c12g12.11c	0.913
c12g12.12	0.865
c12g12.14c	0.945
c12g12.15	0.962
c12g12.16c	1.016
c1306.01c	1.180
c132.01c	
c132.02	1.199
c132.03	0.895
c132.04c	0.710
c1322.02	0.828
c1322.03	0.766
c1322.04	1.083
c1322.05c	1.768
c1322.06	1.152
c1322.07c	1.245
c1322.08	1.198
c1322.09	0.946
c1322.09.rc	1.058
c1322.10	0.844
c1322.14c	0.994
c1322.16	0.971
c1327.01c	0.801
c1346.03	0.897
c1347.01c	0.893
c1347.04	1.001
c1347.05c	0.999
c1347.07	0.937
c1347.08c	0.965
c1347.09	0.909
c1347.11	0.710
c1347.12	1.293
c1347.12.rc	
c1347.13c	1.147
c1347.14c	0.727
c1348.01	0.734
c1348.02	0.550
c1348.02.rc	1.039
c1348.03	0.849
c1348.04	0.905
c1348.05	0.740
c1348.06c	1.244
c1348.07	0.678
c1348.08c	
c1348.09	1.047
c1348.10c	1.054
c1348.11	1.326
c1348.12	
c1348.13	1.372
c1348.14c	1.199
c139.01c	1.132
c139.02c	0.895
c139.03	0.935
c139.04c	0.845
c139.05	0.582
c1393.02c	0.928
c1393.04	0.919
c1393.05	1.076
c1393.06c	1.202
c1393.07c	1.161
c1393.08	1.322
c1393.08.rc	1.285
c1393.09c	1.073
c1393.11	1.008
c1393.12	0.392
c1393.13	
c1399.01c	0.373
c1399.02	0.768
c1399.04c	0.501
c1399.05c	0.777
c13a11.01c	0.775
c13a11.03	1.386
c13a11.04c	1.289
c13a11.05	1.001
c13a2.01c	0.902
c13a2.02	1.096
c13a2.03	0.957
c13b11.02c	1.022
c13b11.03c	1.277
c13c5.01c	0.823
c13c5.02	1.008
c13c5.04	0.539
c13c5.04.rc	0.790
c13c5.05c	0.907
c13c5.06c	0.985
c13d6.01	0.662
c13d6.03c	1.165
c13d6.04c	0.881
c13e7.01	1.041
c13e7.02	0.861
c13e7.03c	0.724
c13e7.04	1.152
c13e7.05	1.010
c13e7.06	1.494
c13e7.07	1.044
c13e7.08c	0.969
c13e7.09	0.969
c13e7.09.rc	1.196
c13f5.03c	1.041
c13f5.04c	1.280
c13f5.05	1.069
c13f5.07c	0.755
c13g1.01c	1.211
c13g1.02	0.936
c13g1.03c	0.959
c13g1.04c	1.245
c13g1.05	1.209
c13g1.06c	0.964
c13g1.07	1.038
c13g1.08c	1.129
c13g1.09	0.991
c13g1.10c	0.900
c13g1.12	0.866
c13g1.14c	0.983
c13g1.15c	1.197
c13g6.03	1.030
c13g6.05c	1.016
c13g6.06c	1.247
c13g6.08	1.546
c13g6.09	1.138
c13g6.10c	0.896
c13g6.11c	1.036
c13g7.02c.b	1.008
c13g7.03	1.031
c13g7.04c	0.752
c13g7.05	1.290
c13g7.06	0.953
c13g7.07	1.110
c13g7.09c	0.820
c13g7.10	0.864
c13g7.11	0.962
c13g7.12c	1.016
c13g7.13c	0.591
c140.03	0.808
c140.04	0.951
c140.05	1.243
c1420.01c	0.987
c1420.04c	1.006
c144.01	1.112
c144.02	0.963
c144.05	0.940
c144.07c	1.034
c144.08	0.878
c144.09c	1.025
c144.10c	0.895
c144.12	1.323
c144.15c	0.888
c144.16	0.914
c144.17c	0.887
c144.18	0.969
c1442.02	0.921
c1442.03	0.967
c1442.04c	1.258
c1442.05c	0.937
c1442.06	0.791
c1442.07c	0.977
c1442.08c	1.098
c1442.09	1.048
c1442.11c	
c1442.12	1.100
c1442.13c	0.993
c1442.14c	
c1442.15c	1.256
c1442.17c	0.839
c145.02	1.065
c145.03	0.981
c1450.01c	0.547
c1450.03	1.090
c1450.05c	0.755
c1450.06c	1.073
c1450.07c	0.912
c1450.09c	1.121
c1450.10c	1.222
c1450.12	
c1450.13c	0.511
c1450.14c	0.983
c1450.15	1.028
c1450.16c	1.577
c146.01	0.908
c146.02	1.255
c146.04	0.760
