Gene name	Mean of ratios
	
3ha	
5srrna	1.057
aap1	0.749
aap1.rc	1.050
abc1: c2d10.18	0.987
abc1: c9e9.12c	1.888
abp1	0.932
abp2	1.155
act1.1.bud.75	
act1.5.bud.79	
act1: cps8: pi012	0.981
act2	1.105
ada1	1.472
ade10	0.543
ade1: min4	0.582
ade2: min10	0.638
ade3: min11	0.671
ade4: min13	0.678
ade5: ade8	0.634
ade6: min1	0.730
ade8	0.533
ade9	1.371
adh1: adh	0.547
adk1	0.615
aes1	0.899
agl	1.264
ags1: mok1	0.754
ain1	1.455
alg11: gmd3	0.969
alm1	1.009
alp1	
alp11	1.212
alp13	0.765
alp14	0.899
alp16	1.185
alp21: sto1	1.127
alp31	0.803
alp4	1.061
alp41	1.512
alp6	1.157
alp7	1.479
anc1	0.742
apc1: apc10	1.196
apc5	0.874
ape1	
apg9	1.137
aph1	0.805
apl1	0.820
apl2	0.944
apl3: pi033	1.413
apl4	1.007
apl5	1.207
apl6	1.071
apm1	0.834
apm2	0.821
apm4	1.008
apn1	
app1	1.289
aps1	1.419
aps2	
aps3	1.020
arf1	0.715
arg11	0.826
arg3	0.591
arg7	1.218
argx	1.144
aro1	0.939
arp10	0.744
arp2	1.300
ars2004	1.160
ars24-ctrl	1.241
ars3002	2.044
aru1	0.525
atf1: mts1: sss1: gad7.b	0.942
atf21	
atf31	1.642
atp1	0.900
atp1.rc	0.870
atp2	0.676
ats1	1.327
aur1	1.152
azr1	0.730
b13958-1	0.671
b13958-3	0.793
b20341-1	0.911
b20341-2	1.745
b20341-3	0.857
b22918-1	0.987
b22918-2	1.361
b8647-1	2.183
b8647-2	1.081
b8647-3	1.324
b8647-4	1.495
b8647-5	2.224
bag1-a	0.947
bag1-b	0.790
bem46	0.621
bet1	0.817
bet3	0.940
bet5	0.988
bfr1: hba2	2.337
bgl2	1.528
bgs2: meu21	1.562
bgs3	0.962
bgs4	0.831
bio2	0.367
bip	0.771
bos1	0.856
bpb1: sf1	1.140
brc1	1.560
brd1	1.018
brr2	1.302
btf3	0.336
bub1	1.074
byr1: ste1	1.142
byr1: ste1.rc	1.179
byr2: ste8	1.251
byr3	0.533
byr4	1.014
c1002.01	1.039
c1002.02	1.038
c1002.03c	1.105
c1002.04c	0.977
c1002.05c	1.904
c1002.06c	0.638
c1002.08c	1.248
c1002.10c	1.102
c1002.11	1.297
c1002.12c	1.887
c1002.14	1.622
c1002.15c	0.987
c1002.16c	
c1002.17c	3.360
c1002.18	2.725
c1002.19	4.036
c1002.20	1.500
c1002.21	
c1006.01	1.735
c1006.02	0.953
c1006.03c	0.988
c1006.04c	1.275
c1006.05c	1.265
c1006.06	1.186
c1020.03	
c1020.05	1.663
c1020.07	0.980
c1020.08	0.781
c1020.09	1.196
c1020.10	0.605
c1020.11c	0.864
c1020.12c	
c1020.13c	1.724
c1039.01	2.968
c1039.02	2.081
c1039.03	1.387
c1039.04	1.324
c1039.05c	1.537
c1039.06	1.821
c1039.07c	2.082
c1039.08	3.170
c105.01c	1.850
c105.02c	1.300
c105.03c	1.109
c106.02c	2.300
c106.03	1.447
c106.05c	0.693
c106.07c	1.151
c106.11c	0.685
c106.12c	0.940
c106.13	1.690
c106.14c	0.781
c106.16	1.325
c106.17c	1.596
c1071.01c	0.928
c1071.02	0.884
c1071.03c	0.817
c1071.04c	1.015
c1071.05	0.883
c1071.06	0.830
c1071.09c	0.788
c1071.09c.rc	0.986
c1071.11	0.980
c1071.11.rc	1.547
c1093.01	1.264
c1093.01.rc	1.393
c1093.02	0.614
c1093.03	
c1093.04c	0.948
c1093.05	0.549
c10f6.01c	0.348
c10f6.03c	0.559
c10f6.04	1.278
c10f6.07c	0.904
c10f6.08c	0.951
c10f6.10	0.587
c10f6.11c	1.906
c10f6.13c	0.980
c10f6.14c	1.077
c10f6.16	1.036
c10f6.17c	1.383
c110.02	1.477
c1105.01	0.731
c1105.02c	0.557
c1105.03c	0.658
c1105.06	0.735
c1105.07c	0.836
c1105.08	1.113
c1105.10	1.250
c1105.13c	0.675
c1105.14	0.803
c1105.15c	
c1105.16c	0.866
c1142.01	1.081
c1142.02c	0.803
c1142.04	0.532
c1142.05	1.175
c1142.06	0.750
c115.01c	0.802
c115.01c.rc	0.883
c115.02c	1.134
c115.03	1.736
c1183.02	0.786
c1183.03c	0.847
c1183.04c	1.075
c1183.07	0.601
c1183.09c	1.207
c119.03	2.185
c119.06	0.735
c119.07	1.236
c119.09c	0.805
c119.10	0.547
c119.12	0.787
c119.15	0.760
c119.16c	1.067
c119.18	0.892
c1198.01	2.201
c1198.02	0.906
c1198.03c	0.987
c1198.05	0.591
c1198.06c	0.879
c1198.07c	1.364
c1198.07c.rc	1.309
c1198.08	0.746
c1198.10c	0.839
c11c11.01	0.936
c11c11.05	0.916
c11c11.06c	0.445
c11c11.12	1.373
c11d3.01c	2.835
c11d3.02c	0.646
c11d3.03c	2.203
c11d3.04c	0.575
c11d3.05	1.885
c11d3.06	1.427
c11d3.07c	1.609
c11d3.08c	1.415
c11d3.09	1.210
c11d3.10	1.605
c11d3.11c	1.639
c11d3.13	2.743
c11d3.14c	1.764
c11d3.15	1.485
c11d3.16c	1.443
c11d3.17	2.539
c11d3.18c	1.461
c11e10.01	2.071
c11e10.03	1.812
c11e10.04	0.825
c11e10.05c	1.051
c11e10.06c	0.958
c11e10.07c	1.104
c11e3.01c	0.999
c11e3.02c	1.306
c11e3.03	0.886
c11e3.05	1.502
c11e3.07	1.253
c11e3.10	0.850
c11e3.10.rc	
c11e3.11c	1.269
c11e3.12	0.855
c11e3.13c	0.858
c11e3.14	0.912
c11g11.01	1.177
c11g11.03	0.468
c11g11.05	0.504
c11g7.01	1.051
c11g7.03	1.286
c11g7.05c	1.223
c11h11.01	0.939
c11h11.02c	0.819
c11h11.03c	0.853
c11h11.05c	1.125
c1215.01	1.052
c1215.02c	0.773
c1223.01	0.950
c1223.04c	
c1223.07c	0.583
c1223.09	4.174
c1223.10c	1.372
c1223.13	1.841
c1223.14.a	0.385
c1235.03	0.913
c1235.04c	1.045
c1235.05c	1.653
c1235.06	1.049
c1235.07	0.621
c1235.09	0.924
c1235.11	0.319
c1235.12c	1.409
c1250.01	1.327
c1250.02	1.407
c1250.04c	0.821
c1259.02c	0.814
c1259.04	0.741
c1259.05c	0.662
c1259.06	1.101
c1259.07	1.217
c1259.08	1.092
c1259.09c	0.535
c1259.10	0.780
c1259.11c	1.194
c1259.12c	1.493
c126.01c	0.846
c126.04c	1.649
c126.05c	0.929
c126.06	1.285
c126.07c	1.664
c126.08c	1.008
c126.09	1.093
c126.11c	0.728
c126.12	0.653
c126.13c	0.501
c1271.01c	1.768
c1271.03c	1.051
c1271.04c	0.479
c1271.05c	2.392
c1271.06c	
c1271.07c	1.440
c1271.08c	0.963
c1271.09	1.938
c1271.10c	0.406
c1271.11	0.901
c1271.13	0.620
c1271.14	1.351
c1271.15c	1.006
c1281.03c	0.886
c1281.04.a	2.262
c1281.05	0.878
c1281.06c	0.474
c1281.07c	4.528
c1289.01c	1.017
c1289.01c.rc	1.016
c1289.05c	0.912
c1289.06c	0.908
c1289.08	0.905
c1289.09	0.789
c1289.10c	1.174
c1289.12	0.737
c1289.13c	0.724
c1296.01c	1.161
c1296.04	0.887
c1296.05c	0.894
c1296.06	1.152
c12b10.01c	1.347
c12b10.02c	0.799
c12b10.03	1.139
c12b10.04	0.656
c12b10.05	1.262
c12b10.06c	0.883
c12b10.07	0.974
c12b10.08c	1.313
c12b10.09	0.675
c12b10.10	1.381
c12b10.13	1.365
c12b10.14c	1.471
c12b10.15c	1.414
c12b10.16c	1.259
c12c2.03c	1.230
c12c2.04	1.121
c12c2.05c	
c12c2.05c.rc	0.978
c12c2.06	0.805
c12c2.07c	0.365
c12c2.08	1.363
c12c2.09c	1.222
c12c2.11	1.150
c12c2.12c	0.863
c12c2.14c	
c12d12.05c	0.926
c12d12.06	0.774
c12d12.07c	1.274
c12d12.09	0.964
c12g12.02	0.458
c12g12.03	1.004
c12g12.05c	
c12g12.05c.rc	
c12g12.06c	0.652
c12g12.07c	0.853
c12g12.08	0.819
c12g12.09	1.318
c12g12.10	1.069
c12g12.11c	1.328
c12g12.12	1.432
c12g12.14c	0.958
c12g12.15	0.852
c12g12.16c	1.127
c1306.01c	0.698
c132.01c	
c132.02	0.975
c132.03	1.021
c132.04c	1.734
c1322.02	0.954
c1322.03	1.433
c1322.04	1.144
c1322.05c	1.848
c1322.06	1.213
c1322.07c	0.844
c1322.08	0.753
c1322.09	1.137
c1322.09.rc	1.110
c1322.10	0.902
c1322.14c	1.014
c1322.16	0.727
c1327.01c	1.118
c1346.03	1.678
c1347.01c	1.551
c1347.04	0.726
c1347.05c	0.855
c1347.07	0.923
c1347.08c	1.050
c1347.09	1.015
c1347.11	2.118
c1347.12	1.033
c1347.12.rc	
c1347.13c	0.834
c1347.14c	2.111
c1348.01	0.678
c1348.02	0.998
c1348.02.rc	1.369
c1348.03	1.898
c1348.04	1.641
c1348.05	
c1348.06c	1.491
c1348.07	0.828
c1348.08c	
c1348.09	1.627
c1348.10c	0.765
c1348.11	1.292
c1348.12	
c1348.13	0.780
c1348.14c	0.942
c139.01c	0.736
c139.02c	0.516
c139.03	1.266
c139.04c	1.625
c139.05	1.685
c1393.02c	1.091
c1393.04	1.443
c1393.05	1.513
c1393.06c	0.699
c1393.07c	
c1393.08	0.710
c1393.08.rc	0.760
c1393.09c	0.596
c1393.11	0.890
c1393.12	2.278
c1393.13	
c1399.01c	3.991
c1399.02	1.747
c1399.04c	3.329
c1399.05c	2.444
c13a11.01c	1.210
c13a11.03	1.128
c13a11.04c	1.364
c13a11.05	1.089
c13a2.01c	0.812
c13a2.02	0.831
c13a2.03	0.674
c13b11.02c	1.376
c13b11.03c	0.835
c13c5.01c	1.327
c13c5.02	1.229
c13c5.04	2.282
c13c5.04.rc	2.314
c13c5.05c	1.081
c13c5.06c	1.084
c13d6.01	1.282
c13d6.03c	0.740
c13d6.04c	1.641
c13e7.01	1.030
c13e7.02	1.295
c13e7.03c	1.116
c13e7.04	0.568
c13e7.05	0.964
c13e7.06	1.081
c13e7.07	0.850
c13e7.08c	0.812
c13e7.09	0.865
c13e7.09.rc	1.089
c13f5.03c	0.608
c13f5.04c	0.780
c13f5.05	0.828
c13f5.07c	1.747
c13g1.01c	0.652
c13g1.02	1.094
c13g1.03c	0.854
c13g1.04c	0.532
c13g1.05	
c13g1.06c	0.627
c13g1.07	0.728
c13g1.08c	0.963
c13g1.09	0.774
c13g1.10c	1.529
c13g1.12	0.716
c13g1.14c	0.764
c13g1.15c	
c13g6.03	0.976
c13g6.05c	0.830
c13g6.06c	1.006
c13g6.08	
c13g6.09	0.760
c13g6.10c	0.783
c13g6.11c	0.674
c13g7.02c.b	0.713
c13g7.03	0.794
c13g7.04c	1.313
c13g7.05	0.581
c13g7.06	0.871
c13g7.07	1.088
c13g7.09c	0.920
c13g7.10	1.168
c13g7.11	1.026
c13g7.12c	0.673
c13g7.13c	1.445
c140.03	1.746
c140.04	0.947
c140.05	0.867
c1420.01c	0.822
c1420.04c	0.890
c144.01	0.564
c144.02	1.069
c144.05	1.405
c144.07c	0.910
c144.08	1.028
c144.09c	0.959
c144.10c	1.071
c144.12	0.467
c144.15c	1.102
c144.16	1.021
c144.17c	1.463
c144.18	1.029
c1442.02	1.257
c1442.03	0.894
c1442.04c	
c1442.05c	
c1442.06	1.461
c1442.07c	
c1442.08c	0.686
c1442.09	0.664
c1442.11c	
c1442.12	0.686
c1442.13c	0.993
c1442.14c	
c1442.15c	1.563
c1442.17c	1.220
c145.02	0.589
c145.03	1.188
c1450.01c	1.628
c1450.03	0.605
c1450.05c	1.325
c1450.06c	
c1450.07c	
c1450.09c	1.105
c1450.10c	
c1450.12	
c1450.13c	2.813
c1450.14c	1.435
c1450.15	1.583
c1450.16c	
c146.01	1.359
c146.02	1.319
c146.04	1.147
c146.05c	0.996
c146.06c	1.241
c146.08c	0.661
c146.09c	1.027
c146.10	
